chromosome_id,chromosome,freq,log_freq,norm_log_freq,num_connections
0,[Bi]C[Bi],1731,3.238297068,0.763367831,2
1,[Bi]CC([Bi])C,118,2.071882007,0.488407345,2
2,[Bi]CC([Bi])CC,13,1.113943352,0.262591264,2
3,[Bi]CC([Bi])CCC,2,0.301029996,0.070962179,2
4,[Bi]CC([Bi])C(C)C,4,0.602059991,0.141924357,2
5,[Bi]CC([Bi])CCCC,2,0.301029996,0.070962179,2
6,[Bi]CC([Bi])CC(C)C,1,0,0,2
7,[Bi]CC([Bi])CCCCC,1,0,0,2
8,[Bi]CC([Bi])CCC(C)C,1,0,0,2
9,[Bi]CC([Bi])CCC(C)CC,1,0,0,2
10,[Bi]CC([Bi])CCCCCCC,13,1.113943352,0.262591264,2
11,[Bi]CC([Bi])CCCCCCCC,1,0,0,2
12,[Bi]CC([Bi])(C)C,22,1.342422681,0.316450983,2
13,[Bi]C(=O)CCCCS(=O)(=O)CCCCC([Bi])=O,11,1.041392685,0.245488804,2
14,[Bi]C1OCC([Bi])(C)CO1,1,0,0,2
15,[Bi]C1COC([Bi])O1,9,0.954242509,0.224944784,2
16,[Bi]c1cc([Bi])c2ccccc2n1,10,1,0.235731255,2
17,[Bi]CC#CC#CC[Bi],18,1.255272505,0.295906963,2
18,[Bi]C(F)(F)C(F)(F)C([Bi])(F)F,23,1.361727836,0.321001811,2
19,[Bi]ON(C(F)(F)C([Bi])(F)F)C(F)(F)C(F)(F)Br,1,0,0,2
20,[Bi]ON(C(F)(F)F)C(F)(F)C([Bi])(F)F,1,0,0,2
21,[Bi]C1OCC2(CO1)COC([Bi])OC2,2,0.301029996,0.070962179,2
22,[Bi]ON(C(F)(F)F)C(F)(Br)C([Bi])(F)F,1,0,0,2
23,[Bi]ON(C(F)(F)F)C(F)(C([Bi])(F)F)C(F)(F)F,1,0,0,2
24,[Bi]CC(C[Bi])C(C)(C)C,1,0,0,2
25,[Bi]CC(C)(C[Bi])CC,5,0.698970004,0.164769076,2
26,[Bi]CC(C)(C[Bi])CO,1,0,0,2
27,[Bi]c1ccc2oc([Bi])nc2c1,73,1.86332286,0.439243436,2
28,[Bi]c1nc2cc3sc([Bi])nc3cc2s1,28,1.447158031,0.341140378,2
29,[Bi]CN[Bi],41,1.612783857,0.380183562,2
30,[Bi]c1cocc1[Bi],2,0.301029996,0.070962179,2
31,[Bi]c1ccc([Bi])s1,365,2.562292864,0.604012512,2
32,[Bi]c1nc2ccccc2n1[Bi],20,1.301029996,0.306693433,2
33,[Bi]c1ccc2c(c1)C(=O)N([Bi])C2=O,3153,3.498723971,0.824758591,2
34,[Bi]c1cccc2c([Bi])cccc12,86,1.934498451,0.456021747,2
35,[Bi]c1cc2ccccc2cc1[Bi],37,1.568201724,0.36967416,2
36,[Bi]c1ccc2cc([Bi])ccc2c1,116,2.064457989,0.486657272,2
37,[Bi]c1ccc2ccc([Bi])cc2c1,77,1.886490725,0.444704826,2
38,[Bi]S(=O)(=O)c1cccc(S([Bi])(=O)=O)c1,6,0.77815125,0.183434571,2
39,[Bi]=Cc1ccc(C=[Bi])cc1,48,1.681241237,0.396321106,2
40,[Bi]n1c(=O)c2cc3c(=O)n([Bi])c(=O)c3cc2c1=O,239,2.378397901,0.560662721,2
41,[Bi]c1ccc(C2(c3ccc([Bi])cc3)c3ccccc3-c3ccccc32)cc1,118,2.071882007,0.488407345,2
42,[Bi]c1ccc(P(=O)(c2ccccc2)c2ccc([Bi])cc2)cc1,35,1.544068044,0.363985097,2
43,[Bi]c1ccc2[nH]c([Bi])nc2c1,153,2.184691431,0.515000052,2
44,[Bi]OS(=O)c1cccc(S(=O)O[Bi])c1,1,0,0,2
45,[Bi]c1ccc2c(c1)Sc1nc3cc([Bi])ccc3nc1N2,2,0.301029996,0.070962179,2
46,[Bi]c1ccc2nc3oc4cc5[nH]c6nc7ccc([Bi])cc7nc6oc5cc4[nH]c3nc2c1,1,0,0,2
47,[Bi]c1ccc2c(c1)Oc1cc([Bi])ccc1C21OC(=O)c2ccccc21,2,0.301029996,0.070962179,2
48,[Bi]CS[Bi],1,0,0,2
49,[Bi]SC([Bi])(F)F,1,0,0,2
50,[Bi]SCS[Bi],4,0.602059991,0.141924357,2
51,[Bi]SSS[Bi],2,0.301029996,0.070962179,2
52,[Bi]CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C[Bi],19,1.278753601,0.301442191,2
53,[Bi]C1(C)CNC([Bi])(C)CN1,1,0,0,2
54,[Bi]c1ccc2nc([Bi])sc2c1,15,1.176091259,0.277241468,2
55,[Bi]c1csc([Bi])n1,60,1.77815125,0.419165825,2
56,[Bi]C1C=CC([Bi])S1,1,0,0,2
57,[Bi]SSC([Bi])=O,22,1.342422681,0.316450983,2
58,[Bi]C(=O)SSC([Bi])=O,2,0.301029996,0.070962179,2
59,[Bi]SC(=NCC)S[Bi],1,0,0,2
60,[Bi]SC(=NC)S[Bi],1,0,0,2
61,[Bi]SC(=Nc1ccccc1)S[Bi],2,0.301029996,0.070962179,2
62,[Bi]C(=O)SSSSC([Bi])=O,1,0,0,2
63,[Bi]C(=O)SSSC([Bi])=O,1,0,0,2
64,[Bi]C1CCN([Bi])CC1,21,1.322219295,0.311688413,2
65,[Bi]N=P(Cl)(Cl)N=P(Cl)(Cl)N=S([Bi])Cl,1,0,0,2
66,[Bi]C(OC)=C(OC)c1ccc([Bi])s1,1,0,0,2
67,[Bi]C(=O)C([Bi])O,2,0.301029996,0.070962179,2
68,[Bi]c1ccc2c(c1)N=C1Sc3cc([Bi])ccc3N=C1N2,2,0.301029996,0.070962179,2
69,[Bi]c1ccc2nc3[nH]c4cc5[nH]c6nc7ccc([Bi])cc7nc6sc5cc4sc3nc2c1,1,0,0,2
70,[Bi]CCCCCC(=O)S[Bi],1,0,0,2
71,[Bi]CC#CC[Bi],6,0.77815125,0.183434571,2
72,[Bi]CCCCCCCCCCCCCCCC([Bi])=O,1,0,0,2
73,[Bi]C(C)CCC([Bi])C,8,0.903089987,0.212886536,2
74,[Bi]CC(C)C(C)C[Bi],1,0,0,2
75,[Bi]CC(CC)C(C[Bi])CC,1,0,0,2
76,[Bi]CC(CCC)C(C[Bi])CCC,1,0,0,2
77,[Bi]CC(CCCC)C(C[Bi])CCCC,2,0.301029996,0.070962179,2
78,[Bi]CC(CCCCCCCCCC)C(C[Bi])CCCCCCCCCC,1,0,0,2
79,[Bi]CC(CCCCCCCCCCCCCCCC)C(C[Bi])CCCCCCCCCCCCCCCC,1,0,0,2
80,[Bi]CC(C(C)C)C(C[Bi])C(C)C,1,0,0,2
81,[Bi]c1ccc2c(c1)c1cc([Bi])ccc1n2C,3,0.477121255,0.112472392,2
82,[Bi]C(=O)CCC=[Bi],32,1.505149978,0.354810893,2
83,[Bi]C(=O)CC([Bi])C,7,0.84509804,0.199216021,2
84,[Bi]C(=O)CC([Bi])CCl,1,0,0,2
85,[Bi]CC(CC)(CC)C([Bi])=O,1,0,0,2
86,[Bi]C=C([Bi])C#CS(F)(F)(F)(F)F,1,0,0,2
87,[Bi]C(C#CS(F)(F)(F)(F)F)=C([Bi])S(F)(F)(F)(F)F,1,0,0,2
88,[Bi]C=CC1=C(O)C(O)=C([Bi])C1,1,0,0,2
89,[Bi]C=C([Bi])C#N,1,0,0,2
90,[Bi]C=C([Bi])CO,1,0,0,2
91,[Bi]C#CC(=[Bi])c1ccccc1,1,0,0,2
92,[Bi]CC([Bi])P(=S)(c1ccccc1)c1ccccc1,1,0,0,2
93,[Bi]CC([Bi])(CC(=O)O)C(=O)O,1,0,0,2
94,[Bi]CC([Bi])C(=O)n1sc2ccccc2c1=O,1,0,0,2
95,[Bi]CC([Bi])S(C)=O,1,0,0,2
96,[Bi]C([Bi])(C#N)C#N,1,0,0,2
97,[Bi]C=C([Bi])c1ccc(C#C)cc1,1,0,0,2
98,[Bi]C=C([Bi])c1cccc(C#C)c1,1,0,0,2
99,[Bi]C=C([Bi])c1cccc(C#C)n1,1,0,0,2
100,[Bi]C=C([Bi])c1cccc(Br)c1,1,0,0,2
101,[Bi]C=C([Bi])c1cccc(Cl)c1,1,0,0,2
102,[Bi]C#CC(CO)=C([Bi])n1c2ccccc2c2ccccc21,1,0,0,2
103,[Bi]C=C([Bi])F,1,0,0,2
104,[Bi]C(=[Bi])c1cncnc1,1,0,0,2
105,[Bi]CCCC([Bi])C#N,1,0,0,2
106,[Bi]CC([Bi])S(=O)c1ccc(F)cc1,1,0,0,2
107,[Bi]CC([Bi])S(=O)c1ccc(Cl)cc1,1,0,0,2
108,[Bi]CC([Bi])(Cl)C#N,2,0.301029996,0.070962179,2
109,[Bi]C1CC([Bi])CC(O)C1,1,0,0,2
110,[Bi]CCC(C#N)CC(=[Bi])C,1,0,0,2
111,[Bi]C=CC(C)(C)CC(C#N)C[Bi],1,0,0,2
112,[Bi]C=C(C)CC(C#N)CC[Bi],1,0,0,2
113,[Bi]C(Br)=C([Bi])c1ccccc1,1,0,0,2
114,[Bi]C(I)=C([Bi])c1ccccc1,1,0,0,2
115,[Bi]C(I)=C([Bi])I,1,0,0,2
116,[Bi]C=CC1C2C=CC(C(C(F)(F)F)=C2C(F)(F)F)C1[Bi],1,0,0,2
117,[Bi]CC([Bi])S(=O)c1ccccc1,1,0,0,2
118,[Bi]CC([Bi])S(=O)(=O)c1ccccc1,1,0,0,2
119,[Bi]C(Br)=C([Bi])Br,1,0,0,2
120,[Bi]C=C([Bi])c1ccccc1C,1,0,0,2
121,[Bi]C=C([Bi])c1ccsc1,1,0,0,2
122,[Bi]C=C([Bi])c1cccs1,1,0,0,2
123,[Bi]C=C([Bi])c1cc(C)sc1C,1,0,0,2
124,[Bi]c1ccc2c(c1)c1ccccc1n2[Bi],12,1.079181246,0.254396749,2
125,[Bi]CC([Bi])C(=O)CC,1,0,0,2
126,[Bi]CC([Bi])CO,1,0,0,2
127,[Bi]C=C([Bi])C(C)=O,1,0,0,2
128,[Bi]C=C([Bi])C(=O)CC,1,0,0,2
129,[Bi]C=C([Bi])CCCCCCCCCCCCCCCCCCCCC(=O)O,1,0,0,2
130,[Bi]C#CC(=[Bi])c1cnc2ccccc2c1,1,0,0,2
131,[Bi]C(=[Bi])c1cnc2ccccc2c1,1,0,0,2
132,[Bi]C=C([Bi])C#CCCCCCCCCCCCCCCCCCCCCC(=O)O,1,0,0,2
133,[Bi]C=C([Bi])c1ccc(S(=O)(=O)c2ccccc2)cc1,1,0,0,2
134,[Bi]CC([Bi])N,1,0,0,2
135,[Bi]N1C(=O)C(=[Bi])SC1=S,16,1.204119983,0.283848714,2
136,[Bi]=CCCCC=[Bi],1,0,0,2
137,[Bi]N1C(=O)NC(=O)C(=Nc2ccc(N=C3C(=O)NC(=O)N([Bi])C3=O)cc2)C1=O,1,0,0,2
138,[Bi]c1cc([Bi])c(O)cc1O,5,0.698970004,0.164769076,2
139,[Bi]C1C(=O)N(C)C(=O)C1[Bi],4,0.602059991,0.141924357,2
140,[Bi]c1ccc(C2(c3ccc([Bi])cc3)NC(=O)c3ccccc32)cc1,20,1.301029996,0.306693433,2
141,[Bi]C1C(=O)NC(=O)C1[Bi],1,0,0,2
142,[Bi]c1ccc2c(c1)C(=O)c1cc([Bi])ccc1-2,3,0.477121255,0.112472392,2
143,[Bi]c1ccc2c(c1)-c1cc([Bi])ccc1C2,2,0.301029996,0.070962179,2
144,[Bi]c1ccc2c(c1)C(=O)N(N1C(=O)c3ccc([Bi])cc3C1=O)C2=O,2,0.301029996,0.070962179,2
145,[Bi]CC(C[Bi])CCCC,1,0,0,2
146,[Bi]N1C(=O)N([Bi])C1=O,3,0.477121255,0.112472392,2
147,[Bi]N1C(=O)c2ccc(P(=O)(c3ccccc3)c3ccc4c(c3)C(=O)N([Bi])C4=O)cc2C1=O,4,0.602059991,0.141924357,2
148,[Bi]c1nc2c(n1C)C(=O)N([Bi])C2=O,1,0,0,2
149,[Bi]c1cc2c(cc1Cl)C(=O)N([Bi])C2=O,18,1.255272505,0.295906963,2
150,[Bi]N1C(=O)C(=O)N([Bi])C1=O,27,1.431363764,0.337417176,2
151,[Bi]c1ccc(C2(c3ccc([Bi])c(F)c3)c3ccccc3-c3ccccc32)cc1F,2,0.301029996,0.070962179,2
152,[Bi]c1c2c(c([Bi])c3ccccc13)C(=O)N(C)C2=O,3,0.477121255,0.112472392,2
153,[Bi]n1c(=O)c2cc3c(=O)n(C(=[Bi])C#N)c(=O)c3cc2c1=O,1,0,0,2
154,[Bi]C1(C)CC([Bi])(C)C(=O)N(C)C1=O,1,0,0,2
155,[Bi]c1cc([Bi])cc(S(F)(F)(F)(F)F)c1,8,0.903089987,0.212886536,2
